datetime,pow_P,temp,shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),global_tilted_irradiance (W/m²)
2024-09-16 18:00:00,0.0,0.0,22.5,0.3,22.2,22.5
2024-09-16 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 05:00:00,0.0,37.11,0.0,0.0,0.0,0.0
2024-09-17 06:00:00,6902.0,43.56,3.7,-0.2,3.9,3.7
2024-09-17 07:00:00,12230.0,46.17,60.8,6.2,54.7,60.8
2024-09-17 08:00:00,10154.0,47.45,169.3,33.5,135.8,169.3
2024-09-17 09:00:00,32446.0,53.72,193.5,19.5,174.0,193.5
2024-09-17 10:00:00,16953.0,51.13,283.5,26.6,256.9,283.5
2024-09-17 11:00:00,15941.0,47.49,291.5,15.0,276.5,291.5
2024-09-17 12:00:00,25275.0,50.51,246.3,14.1,232.3,246.3
2024-09-17 13:00:00,20403.0,53.69,300.0,18.1,281.9,300.0
2024-09-17 14:00:00,25454.0,52.2,301.8,21.7,280.1,301.8
2024-09-17 15:00:00,6584.0,51.47,263.2,31.1,232.1,263.2
2024-09-17 16:00:00,2858.0,47.59,164.2,18.7,145.4,164.2
2024-09-17 17:00:00,0.0,43.75,80.7,6.8,73.8,80.7
2024-09-17 18:00:00,0.0,0.0,20.2,0.1,20.1,20.2
2024-09-17 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-18 05:00:00,189.0,37.08,0.0,0.0,0.0,0.0
2024-09-18 06:00:00,1119.0,41.31,4.0,-0.2,4.2,4.0
2024-09-18 07:00:00,14184.0,44.48,53.3,4.0,49.3,53.3
2024-09-18 08:00:00,22104.0,45.13,121.3,13.5,107.8,121.3
2024-09-18 09:00:00,11643.0,47.66,222.0,29.8,192.2,222.0
2024-09-18 10:00:00,7341.0,43.26,201.2,6.0,195.2,201.2
2024-09-18 11:00:00,21954.0,47.870000000000005,73.0,1.0,72.0,73.0
2024-09-18 12:00:00,18283.0,50.120000000000005,225.0,11.7,213.3,225.0
2024-09-18 13:00:00,18289.0,51.7,210.8,6.6,204.3,210.8
2024-09-18 14:00:00,20220.0,53.58,192.8,1.7,191.1,192.8
2024-09-18 15:00:00,15196.0,52.72,203.7,12.6,191.1,203.7
2024-09-18 16:00:00,3526.0,50.51,192.2,29.7,162.4,192.2
2024-09-18 17:00:00,0.0,46.34,78.8,6.5,72.4,78.8
2024-09-18 18:00:00,0.0,0.0,28.7,1.6,27.1,28.7
